id_comedor,comedor,nombre,direccion,colonia,delegacion
117,CC243,SANTA CATARINA,EJE 10  SUR MZ  23  LT 13  C.P. 11310   (13070),AMPLIACL6N  SANTA CATARINA,TLAHUAC
118,CC244,EL GRAN PARO,JARDINEROS #89  ACCESORIA E  C.P. 15270,MORELOS,VENUSTIANO CARRANZA
119,CC245,LA PALAPA,S ESQUINA PROSPERIDAD 5/N  C.P. 08100,AGRICOLA  PANTITLAN,IZTACALCO
120,CC246,KAREL,GENERAL ANAYA #17  C.P. 10010,SAN BARTOLO AMEYALCO,MAGDALENA  CONTRERAS
121,CC247,PIRITAS,4 MZ  10  LT 33   C.P. 01630,LOMAS DE PUERTA GRANDE,ÁLVARO OBREGÓN
122,CC248,FLORENTINO BRAVO,ALFREDO DE LA ROSA ESQUINA  AVENIDA DE LAS TORRES S/N  C.P. 09700,PARAJES BUENAVISTA,IZTAPALAPA
123,CC250,VISTA HERMOSA,LOMA DEL SOL MZ  58  LT 6   C.P. 07188,VISTA HERMOSA,GUSTAVO A. MADERO
124,CC251,EL PIONERO,NINOS HEROES #16  C.P. 12200,SAN PEDRO ATOCPAN,MILPA ALTA
125,CC252,LA ESPERANZA,NINOS HEROES #28  MZ  71  LT 4  C.P. 08600,BARRIO DE LA ASUNCL6N,IZTACALCO
126,CC253,CAMPO X6CHITL,CAMPO X6CHITL #31  C.P. 14268,MIGUEL HIDALGO,TLALPAN
127,CC254,PALAPA,MIGUEL HIDALGO #298  C.P. 08310,LA CRUZ,IZTACALCO
128,CC256,LAS PALMERAS,TOCHTLI #40  C.P. 04369,PEDREGAL DE SANTO DOMINGO,COYOACÁN
129,CC257,EL BUEN SAZ6N,ANTIGUA  VIA LA VENTA MZ  S  LT 13   C.P. 01280,PRIMERA  VICTORIA,ÁLVARO OBREGÓN
130,CC258,REVOLUC16N,AVENIDA REVOLUCL6N MZ  116  LT 1   C.P. 13370,LA CONCHITA ZAPOTITLAN,TLAHUAC
131,CC259,LA PRADERA,VOLCAN MALINCHE #18 BIS  C.P. 07500,LA PRADERA,GUSTAVO A. MADERO
132,CC260,AJUSCO,TOLTECAS #332  C.P. 04300,AJUSCO,COYOACÁN
133,CC261,UTOPIA SALUDABLE,AVENIDA 613  #170  C.P. 07970,:NS;;     ;:E  CL6N,GUSTAVO A. MADERO
134,CC263,VICTORIA,GENERAL SOSTENES ROCHA #67  C.P. 11830,DANIEL GARZA,MIGUEL HIDALGO
135,CC264,LAS PALMAS,FRANCISCO I. MADERO MZ 56 LT 6  C.P. 07160,LOMA LA PALMA,GUSTAVO A. MADERO
136,CC266,BARRIO NORTE,CERRADA ALLENDE  #20  C.P. 01410,BARRIO NORTE,ÁLVARO OBREGÓN
137,CC267,TLALPAN CENTRO,SAN MARCOS #85  C.P. 14000,TLALPAN CENTRO,TLALPAN
138,CC268,TEPETZINGO,MORELOS #100  C.P. 15520,PENON DE LO BANOS,VENUSTIANO CARRANZA
139,CC269,LAS MARGARITAS,SAN FELIPE #185  C.P. 03330,XOCO,BENITO JUÁREZ
140,CC272,LA MARAVILLOSA,KAUA MZ 197  LT 17   C.P. 14100,PEDREGAL DE SAN NICOLAS 4° SECCION,TLALPAN
141,CC273,LA TURBA,JOSE LUGO GUERRERO MZ  7  LT 30   C.P. 09960,LA PLANTA,IZTAPALAPA
142,CC275,LA ESCONDIDA,CATEDRA MZ  136A LT 4  C.P. 09680,TENORIOS,IZTAPALAPA
143,CC276,LOS ANGELES,PROLONGACION  YUCATAN #25  C.P. 12000,VILLA MILPA ALTA,MILPA ALTA
144,CC277,ANITA,MARTIR ES DE JALAPA #33  C.P. 02630,COLTONGO,AZCAPOTZALCO
145,CC279,TFA LOLA,JOSE SEVERINO  DE LA SOTA MZ  12  LT 5  C.P. 13310,ZAPOTITLA,TlAHUAC
146,CC280,SANTA MARTHA,CHIAPAS #2   C.P. 12000,BARRIO SANTA MARTHA  VILLA MILPA ALTA,MILPA ALTA
147,CC281,LAS MAFALDAS DE IZTAPALAPA,RIO MIRAMONTES MZ 41  LT 6  C.P. 09770,PUENTE BLANCO,IZTAPALAPA
148,CC282,TEPETONGO,AVENIDA CANTERA ESQUINA ISIDRO FAVELA  C.P.14420,CUMBRES DE TEPETONGO,TLALPAN 
149,CC283,VIVEROS,2° CERRADA  DEL MIRADOR #9  C.P. 14479,VIVEROS DEL COATECTLAN 2° SECCION,TLALPAN
150,CC284,MAXIMINO AVILA CAMACHO,NORTE LA   #5038  C.P. 07380,MAXIMINO AVILA CAMACHO,GUSTAVO A. MADERO
151,CC285,SAN ANTONIO CULHUACAN,MORELOS #2  C.P. 09800,SAN ANTONIO CULHUACAN,IZTAPALAPA
152,CC286,SAN FRANCISCO,REFOR MA  #9   C.P. 16900,PUEBLO DE SAN FRANCISCO TLALNEPANTLA,XOCHIMILCO
153,CC287,UNION POPULAR  VALLE GOMEZ,SANTA ROSA #60  C.P. 15210,VALLE GOMEZ,VENUSTIANO CARRANZA
154,CC288,EL BUEN COMER,BILBAO #621  C.P. 09850,SAN JUAN XALPA,IZTAPALAPA
155,CC289,SAN MIGUEL,ANDADOR PARAJE TLACATELCO  #20  C.P. 08650,BARRIO SAN MIGUEL,IZTACALCO
156,CC291,LA CONCEPCION,PLAZUELA DEL PEDREGAL 5/N  C.P. 10840,LA CONCEPCION,MAGDALENA  CONTRERAS
157,CC292,XALTOCAN,LIRIO ACUATICO #8  C.P. 16090,BARRIO XALTOCAN,XOCHIMILCO
158,CC293,CATA,PROLONGACION  ALLENDE #8   C.P. 09410,MAGDALENA  ATLAZOLPA,IZTAPALAPA
159,CC294,ZIHUALTHEQUITE,TOLUCA SUR #62  C.P. 12000,LA CONCEPCION   VILLA MILPA ALTA,MILPA ALTA
160,CC295,PAULINO NAVARRO,RAMON ISAAC ALDANA NUMERO 104 ,PAULINO NAVARRO,CUAUHTÉMOC
161,CC296,ELATORON,SUPER MANZANA 2 EDIFICIO A LOCAL 1   C.P. 09220,UNIDAD HABITACIONAL EJERCITO CONSTITUCIONALISTA,IZTAPALAPA
162,CC297,LA PERLA,CEDRAL NUMERO 49  C.P. 14650,SAN PEDRO MARTIR,TLALPAN
163,CC298,LAS CHIIQUITAS,DR. JOSE TERRES 5/N  C.P. 06720,DOCTORES,CUAUHTÉMOC
164,CC300,MATEO OLLIMEZTLI,VOLCAN SAN ANDRES TUXTLA #115  C.P. 07560,AMPLIACION  PROVIDENCIA,GUSTAVO A. MADERO
165,CC301,PAQUITA,PRIVADA  21 #3  C.P. 08100,AGRICOLA  PANTITLAN,IZTACALCO
166,CC302,ALIMENTARTE,CALLE TONALA NUMERO 125,ROMA NORTE,CUAUHTÉMOC
167,CC303,SAN ANDRES TOMATLAN,ROBERTO FULTON #42  C.P. 09870,SAN ANDRES TOMATLAN,IZTAPALAPA
168,CC304,JOYAS DE TEHUEPANCO,CERRADA  DE LA CRUZ #13  C.P. 16450,JOYAS DE TEHUEPANCO,XOCHIMILCO
169,CC305,LA LUPITA,AGUSTFN DE !TURBIDE #20  C.P. 12100,BARRIO DE XOCHITEPETL  PUEBLO DE SAN ANTONIO TECOMITL,MILPA ALTA
170,CC308,EL SAZON DE TEPEPAN,ABASOLO #126  C.P. 16020,PUEBLO DE SANTA MARIA TEPEPAN,XOCHIMILCO
171,CC310,EL PROFETA  DEL NOPAL,PONIENTE 110  #210  C.P. 07780,DEFENSORES DE LA REPUBLICA,GUSTAVO A. MADERO
172,CC321,LUPITA,SAN FRANCISCO TLALTENCO MZ  3 LT 1   C.P. 09704,UNIDAD HABITACIONAL LA MAGUEYERA,IZTAPALAPA
173,CC323,TIERRA Y LIBERTAD,OTILIO MONTANO MZ 60 LT 11   C.P. 09704,DEGOLLADO,IZTAPALAPA
174,CC324,COMPOSITORES,FOLKLORISTA  MZ  81  LT 7  C.P. 07130,COMPOSITORES MEXICANOS,GUSTAVO A. MADERO
175,CC325,EL RINCON DE LOS SABORES,AVENIDA SAN MIGUEL MZ  18  LT 6   C.P. 07119,MALACATES,GUSTAVO A. MADERO
176,CC327,CAMPAMENTO 2 DE OCTUBRE,MIGUEL GARCIA GARCIA #49  C.P. 08930,CAMPAMENTO  2 DE OCTUBRE,IZTACALCO
177,CC328,DONA PATY,SAN ANTONIO #31  OFICIAL  C.P. 09900,SAN ANTONIO,IZTAPALAPA
178,CC336,XOCHITL,AVENIDA LAS CRUCES 5/N  C.P. 12500,SAN LORENZO TLACOYUCAN,MILPA ALTA
179,CC337,EL  PORTON DE TEPITO,PENON NUMERO 35 ,MORELOS,CUAUHTÉMOC
180,CC338,ALONDRA,LAGO TANA #145  C.P. 11290,SAN DIEGO OCOYOACAC,MIGUEL HIDALGO
181,CC339,JJ,MORELOS #94  C.P. 09000,BARRIO SAN PEDRO,IZTAPALAPA
182,CC340,CANDELARIA,COAHUILA #45  C.P. 05000,CUAJIMALPA  CENTRO,CUAJIMALPA
183,CC341,EL RINCON DEL SAZON,NORTE 9 #113  C.P. 15530,MOCTEZUMA  2'  SECCION,VENUSTIANO CARRANZA
184,CC342,BARRIO UNIDO,FELIPE BERRIOZABAL #48  C.P. 15100,CENTRO,VENUSTIANO CARRANZA
185,CC343,COMEDOR EL GUARDA PARR ES,AVENIDA FERROCARRIL MZ 2 LT 5  C.P. 14900,PUEBLO PARRES EL GUARDA,TLALPAN
186,CC344,EL SAZ6N DE MAMA QUETA,CARRIZAL #8  C.P. 09400,EL SIFON,IZTAPALAPA
187,CC345,IXTCALLY,FELIPE ANGELES MZ 17 LT 43  C.P. 09620,LOMAS DE ZARAGOZA,IZTAPALAPA
188,CC346,EL ENCANTO,PROLONGACION  BUENA VISTA MZ 430 #44  C.P. 12000,BARRIO DE SAN MATEO,MILPA ALTA
189,CC347,MUJERES EN LUCHA,ANDADOR 18 DE MARZO MZS0 LT 9  C.P. 09630,SAN MIGUEL TEOTONGO,IZTAPALAPA
190,CC348,FRIDA KAHLO,ANILLO DE CIRCUNVALACION  MZ 8 LT 939,EJIDOS DE SANTA MARIA AZTAHUACAN,IZTAPALAPA
191,CC349,CUPIDO,MORELOS #62  C.P. 09840,LOS REVES CULHUACAN,IZTAPALAPA
192,CC350,EL REGALITO,INDEPENDENCIA  #6  C.P. 12700,SAN FRANCISCO TECOXPA,MILPA ALTA
193,CC351,DONA VICKY,LAGO AMMER #25  C.P. 11430,PENSIL NORTE,MIGUEL HIDALGO
194,CC354,LA VIKINGA,15 #94  C.P. 15000,IGNACIO ZARAGOZA,VENUSTIANO CARRANZA
195,CC355,LAS FLORES,5 MZ 6 LT 152  C.P. 09640,XALPA,IZTAPALAPA
196,CC356,EL SAZ6N DE RENATA,CERRADA DE OCOTE #54  C.P. 05200,SAN JOSE DE LOS CEDROS,CUAJIMALPA
197,CC357,MEMETLA,MIGUEL ROMERO MZ 2 LT 7. C.P. 05330,MEMETLA,CUAJIMALPA
198,CC358,EL SAZ6N DE MAMA ELSA,COCOXOCHITL #2  C.P. 16430,XOCHIPILLI,XOCHIMILCO
199,CC359,OLIVAR,PABELL6N TRICOLOR  #441  C.P. 16790,OLIVAR DE SANTA MARFA,XOCHIMILCO
200,CC360,RAVITO DE SOL,SEGUNDO CALLEJON DE GENERAL ANAYA #5 INTERIOR 2  C.P. 09000,BARRIO DE SANTA BARBARA,IZTAPALAPA
201,CC361,LA VER6NICA,2 DE NOVIEMBRE  MZ 33 LT 47  C.P. 07140,VERONICA CASTRO,GUSTAVO A. MADERO
202,CC362,EL MEJOR SABOR DE LERMA,RIO LERMA #5  C.P. 10369,AMPLIACION  LOMAS DE SAN BERNABE,MAGDALENA  CONTRERAS
203,CC363,LA MALINTZIN,MARIPOSAS #18  C.P. 10010,LA MALINCHE,MAGDALENA  CONTRERAS
204,CC364,AHUACATITLA,VISTA HERMOSA #24  C.P. 14500,AHUACATITLA  SAN MIGUEL TOPILEJO,TLALPAN
205,CC365,AMISTAD,AMISTAD #49  C.P. 16610,BARRIO LA GUADALUPITA  SAN LUIS TLAXIALTEMALCO,XOCHIMILCO
206,CC366,COMELODROMO,CALLEJ6N CUACONTLE #2  C.P. 16600,SAN SEBASTIAN  SAN GREGORIO ATLAPULCO,XOCHIMILCO
207,CC367,LOS PRIMOS,SAN MIGUEL #32  C.P. 05730,XALPA,CUAJIMALPA
208,CC368,LA CAMELIA,FLOR DE CAMELIA MZ 21 LT 5  C.P. 09780,LOMAS DE SAN LORENZO TEZONCO,IZTAPALAPA
209,CC370,EL SAZ6N DE MAGALY,DURAZNO MZ 135 LT 15   C.P. 10640,LA CARBONERA,MAGDALENA  CONTRERAS
210,CC371,EL SAZ6N DE CERRILLOS,NACION ES UNIDAS #107  C.P. 16780,3 SECCL6N CERILLOS,XOCHIMILCO
211,CC372,FRESNOS,FRESNOS #3  C.P. 09870,SAN ANDRES TOMATLAN,IZTAPALAPA
212,CC373,LAS FLORES,AVENIDA DE LAS FLORES MZ 9 LT 1  C.P. 10660,EL ERMITANO,MAGDALENA  CONTRERAS
213,CC374,VILLA DE CORTES,FRANCISCO FERNANDEZ DEL CASTILLO #2811 LOCAL C  C.P. 03500,NATIVITAS,BENITO JUÁREZ
214,CC375,EL MIRADOR DE SAN JOSE,SAN JOSE #34  C.P. 16780,CERRILLOS 2'  SECCION PUEBLO SANTIAGO TULYEHUALCO,XOCHIMILCO
215,CC376,MIACATLAN,INDUSTRIA #2  C.P. 12600,SAN JERONIMO MIACATLAN,MILPA ALTA
216,CC377,TEPITO,FRAY BARTOLOME DE LAS CASAS NUMERO 26 INTERIOR 17 ,MORELOS,CUAUHTÉMOC
217,CC378,LAS DELICIAS,BERLIOZ #168  C.P. 06250,EX HIPODROMO  DE PERALVILLO,CUAUHTÉMOC
218,CC379,LA DIVINA PROVIDENCIA,SOL #88-A  C.P. 06300,GUERRERO,CUAUHTÉMOC
219,CC380,MALINTZIN,NINO PERDIDO #2  C.P. 12600,SAN JER6NIMO MIACATLAN,MILPA ALTA
220,CC381,CULHUACAN,VICENTE GUERRERO #5  C.P. 09800,SAN SIM6N CULHUACAN,IZTAPALAPA
221,CC382,MAGY,DR JOSE MA.  VERTIZ #397 INT. B  C.P. 06720,OBRERA,CUAUHTÉMOC
222,CC383,OBRERA,SAN ANTONIO ABAD NUMERO 151 ,OBRERA,CUAUHTÉMOC
223,CC385,RECREO,AVENIDA DEL RECREO #7  C.P. 08620,BARRIO LOS REVES,IZTACALCO
224,CC386,LAS ADELITAS,CERRADA LAS FLORES ESQUINA AVENIDA SAN MIGUEL  C.P. 09700,BUENA VISTA,IZTAPALAPA
225,CC387,GANESHA,VILLA GUILLERMINA  MZ 47B LT 2  C.P. 09700,DESARROLLO URBANO QUETZALCOATL,IZTAPALAPA
226,CC388,LAHOJA,JOSE MARIA MORELOS MZ 98 LT 4  C.P. 09630,SAN MIGUEL TEOTONGO,IZTAPALAPA
227,CC389,AXEL,TOMAS CARRASQUILLA  #LA  C.P. 13310,SAN MIGUEL ZAPOTITLA,TlAHUAC
228,CC390,390,DIABLOTITLA  MZ 32 LT 10    C.P. 1312 0,SANTA CATARINA,TlAHUAC
229,CC391,ALONDRA,CAMINO REAL A SAN JUAN S/N  C.P. 13700,EL LLANO  SAN NICOLAS TETELCO,TlAHUAC
230,CC392,2 DE OCTUBRE,35  MZ  35  LT 13   C.P. 14739,2 DE OCTUBRE,TLALPAN
231,CC393,SERAFIN,ANDADOR ACHIUTLA MZ  2 LT12   C.P. 14039,AMPLIACION  ISIDRO FABELA,TLALPAN
232,CC394,NUESTRO PAN,JOSE MARIA AGREDA  Y SANCHEZ NUMERO 254 LOCAL A ,TRANSITO,CUAUHTÉMOC
233,CC395,EL QUINTO SOL,ESTEARINA  #56  C.P. 02780,PLENITUD,AZCAPOTZALCO
234,CC396,SANTA JULIA,CACAMATZIN #78  C.P. 11370,ANAHUAC,MIGUEL HIDALGO
235,CC397,LAS ROSAS TEMPILULI,CERRADA  DE LAS ROSAS MZ  2 LT 13   C.P. 13360,TEMPILULI,TLAHUAC
236,CC398,ML  HOGAR,VALDIVIA #5 BIS  C.P. 14700,SAN MIGUEL AJUSCO,TLALPAN
237,CC399,SANTA TERESA,CAMINO ANTIGUO A TOPILEJO MZ  7 LTLL  C.P. 14500,PEDREGAL DE AMINCO SAN MIGUEL TPILEJO,TLALPAN
238,CC400,LA FLOR DE JAMAICA,COM PAS #81  C.P. 15840,SEVILLA,VENUSTIANO CARRANZA
239,CC401,LAS HADAS,CANARIO #109  C.P. 01140,BELLA VISTA,ÁLVARO OBREGÓN
240,CC402,ELOHIM,TLACOTAL C #2427  C.P. 08720,RAMOS MILLAN,IZTACALCO
241,CC403,LAS PALOMAS,GENOVEVO  RIVAS  MZ  2 LT 55   C.P. 07510,SAN FELIPE DE JESUS,GUSTAVO A. MADERO
242,CC405,FERNEY,TLALTENAMIC #2  C.P. 12400,PUEBLO SAN PABLO OZTOTEPEC,MILPA ALTA
243,CC406,ALLY,AVENIDA GUADALUPE POSADAS MZ  2 LT 79   C.P. 13100,NU EVA AMPLIACION SANTA CATARINA,TLAHUAC
244,CC407,TONALLI,JUAN MENDOZA MZ 94 LT 687  C.P. 13020,SANJOSE,TLAHUAC
245,CC408,ELI Y DANI,SACALUM MZ  77  LT 16   C.P. 14740,LOMAS ALTAS DE PADIERNA,TLALPAN
246,CC409,SANTA CRUZ,5  DE MAYO #154  C.P. 03310,SANTA CRUZ ATOYAC,BENITO JUÁREZ
247,CC410,JUQUILITA,VICENTE MENDIOLA  MZ  38 LT 15   C.P. 14250,AMPLIACION MIGUEL HIDALGO 3  SECCION,TLALPAN
